name,host_id,host_name,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,city,state,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,price_range,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,Seasons,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
Historic DC Condo-Walk to Capitol!,15830506,Lize & Greg,5/21/14,f,26,26,t,t,Capitol Hill,Washington,DC,20003,"Washington, DC",t,House,Entire home/apt,4,1,1,2,Real Bed,160,3,1125,5225,100,$115.00 ,1,$0.00 ,1,1125,283,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,18,
Spacious Capitol Hill Townhouse,5338703,Sebastian,3/5/13,f,1,1,t,f,Capitol Hill,Washington,DC,20003,"Washington, DC",t,House,Entire home/apt,6,3,3,3,Real Bed,350,4,,,,$100.00 ,1,$0.00 ,2,30,343,10/2/15,65,3/22/13,9/28/15,4,94,10,9,f,f,strict,f,f,1,2.11
Spacious/private room for single,1487418,Craig,12/9/11,f,2,2,t,t,"Chillum, MD",Hyattsville,MD,20782,"Hyattsville, MD",t,House,Private room,1,2,1,1,Real Bed,50,1,300,700,,,1,$0.00 ,2,1125,60,10/2/15,1,9/10/15,9/10/15,4,,,,f,f,flexible,f,f,1,1
A wonderful bedroom with library,16970249,Christopher,6/18/14,f,1,1,t,f,,Washington,DC,20024,"Washington, DC",f,House,Private room,2,1,1,1,Real Bed,95,2,,2650,,,1,$0.00 ,1,1125,365,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Downtown Silver Spring,30369828,Joshua,3/31/15,f,1,1,t,t,"Silver Spring, MD",Silver Spring,MD,20910,"Silver Spring, MD",t,Townhouse,Entire home/apt,4,1,1,1,Real Bed,50,1,400,1500,450,$15.00 ,2,$15.00 ,7,1125,351,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Exclusive Catamaran Houseboat,951119,Todd,8/10/11,f,1,1,t,t,,Washington,DC,20024,"Washington, DC",f,Boat,Entire home/apt,4,1,2,4,Real Bed,99,2,,,,,2,$25.00 ,1,1125,361,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,1,
"Cozy DC Condo, Close to Metro!",4628,Michelle,11/25/08,f,1,1,t,t,Takoma,Washington,DC,20012,"Washington, DC",t,Condominium,Entire home/apt,4,2,2,2,Real Bed,100,2,550,,150,$50.00 ,2,$40.00 ,3,1125,21,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Warm and Cozy 1 Bedroom Apt,3671500,Shahrzad,9/25/12,f,1,1,t,f,"Mt Rainier/Brentwood, MD",Mount Rainier,MD,20712,"Mount Rainier, MD",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,2,,,,,1,$0.00 ,1,1125,365,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Private room for rent,5159038,Qianwen,2/20/13,f,8,8,t,f,"Capitol Heights, MD",Capitol Heights,MD,20743,"Capitol Heights, MD",t,House,Private room,2,1.5,1,1,Real Bed,38,1,250,800,,,1,$10.00 ,2,180,360,10/3/15,1,9/15/15,9/15/15,4,100,10,10,f,t,moderate,f,f,1,1
"Takoma Comfort, DC Convenience",9188872,Danielle,10/2/13,f,1,1,t,f,,Takoma Park,MD,20912,"Takoma Park, MD",t,House,Entire home/apt,4,1.5,2,2,Real Bed,97,2,580,2100,250,$50.00 ,4,$25.00 ,4,1125,3,10/2/15,5,12/2/13,8/3/14,3,88,9,9,f,f,moderate,f,f,1,0.22
Great Penthouse View! Metro in 7min,21704152,Matt,9/23/14,f,1,1,t,t,"Silver Spring, MD",Silver Spring,MD,20910,"Silver Spring, MD",t,Apartment,Entire home/apt,1,1,1,1,Real Bed,55,2,299,999,100,,1,$0.00 ,3,1125,0,10/2/15,1,9/28/15,9/28/15,4,100,10,6,f,f,strict,f,f,1,1
Sunny & Conveniently Located!,44519208,Angeli,9/18/15,f,1,1,t,f,"Silver Spring, MD",Silver Spring,MD,20910,"Silver Spring, MD",t,Condominium,Private room,2,1,1,1,Real Bed,50,1,,,150,$20.00 ,1,$10.00 ,2,14,365,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Beautiful Private High-Rise Apt,3736766,Anne,10/2/12,f,7,7,t,f,"Silver Spring, MD",Silver Spring,MD,20910,"Silver Spring, MD",t,Apartment,Entire home/apt,2,1,0,1,Real Bed,99,2,,,,$125.00 ,1,$0.00 ,7,1125,339,10/2/15,0,0,0,0,,,,f,f,strict,f,f,1,
Cozy private second floor,44659281,Aaron,9/20/15,f,1,1,t,t,"Mt Rainier/Brentwood, MD",Mount Rainier,MD,20712,"Mount Rainier, MD",t,House,Private room,2,1,1,1,Real Bed,52,2,,,,,2,$15.00 ,1,1125,359,10/2/15,1,9/27/15,9/27/15,4,80,10,8,f,f,flexible,f,f,1,1
Cheap room near Fort Totten Metro,11798122,Michael,1/30/14,f,1,1,t,f,"Chillum, MD",Hyattsville,MD,20782,"Hyattsville, MD",t,Condominium,Private room,1,1,1,1,Real Bed,23,1,,,,$5.00 ,1,$10.00 ,1,1125,333,10/2/15,1,10/1/15,10/1/15,4,100,10,10,f,t,flexible,f,f,1,1
"Near Washington,DC",34290236,Ayesha,5/26/15,f,1,1,t,f,"Silver Spring, MD",Silver Spring,MD,20910,"Silver Spring, MD",t,Apartment,Shared room,2,1,1,2,Real Bed,200,3,,,100,,1,$0.00 ,1,1125,363,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Sweet basement suite apartment,4218349,Paul Joseph,11/22/12,f,1,1,t,t,,Mount Rainier,MD,20712,"Mount Rainier, MD",f,Apartment,Entire home/apt,4,1,2,2,Real Bed,40,1,,,,,1,$0.00 ,1,1125,0,10/2/15,0,0,0,0,,,,f,f,moderate,f,f,1,
Etta Mae Inn B&B - The Kiera room,45276150,Francoise,9/28/15,f,3,3,t,f,,Takoma Park,MD,20912,"Takoma Park, MD",f,Bed & Breakfast,Private room,2,1,1,1,Real Bed,135,2,,,,,1,$0.00 ,1,1125,365,10/3/15,0,0,0,0,,,,f,f,moderate,f,f,2,
All the comfort you need.,44546458,Afam,9/19/15,f,1,1,t,f,"Mt Rainier/Brentwood, MD",Mount Rainier,MD,20712,"Mount Rainier, MD",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,2,550,,,,1,$0.00 ,1,1125,365,10/2/15,0,0,0,0,,,,f,f,moderate,f,f,1,
Etta Mae Inn B&B - The Phoenix room,45276150,Francoise,9/28/15,f,3,3,t,f,,Takoma Park,MD,20912,"Takoma Park, MD",f,Bed & Breakfast,Private room,2,1,1,1,Real Bed,225,3,,,,,1,$0.00 ,1,1125,365,10/3/15,0,0,0,0,,,,f,f,moderate,f,f,2,
Sunny Cape Cod minutes from DC,2245859,Narae,4/28/12,f,1,1,t,f,"Takoma Park, MD",Takoma Park,MD,20912,"Takoma Park, MD",t,House,Entire home/apt,7,3,4,3,Real Bed,129,2,799,2700,99,$99.00 ,1,$0.00 ,14,1125,120,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,1,
CHIC DC URBAN RETREAT,966914,Annie,8/14/11,t,1,1,t,t,Woodley Park,Washington,DC,20008,"Washington, DC",t,Apartment,Entire home/apt,1,1,1,1,Real Bed,149,2,999,2499,,,1,$99.00 ,3,31,18,10/3/15,46,3/11/12,10/1/15,4,100,10,10,f,f,strict,f,f,1,1.06
Perfect studio in VERY central DC,2070536,Joel,4/4/12,t,2,2,t,t,Logan Circle,Washington,DC,20005,"Washington, DC",t,Apartment,Entire home/apt,4,1,1,2,Real Bed,150,2,1100,3700,100,$30.00 ,2,$20.00 ,2,365,351,10/2/15,84,5/20/13,9/30/15,4,99,10,10,f,f,moderate,t,t,2,2.91
"Logan Circle Loft 1bedroom, 1.5bath",12725500,Mayrose,3/2/14,f,1,1,t,f,Logan Circle,Washington,DC,20005,"Washington, DC",t,Apartment,Entire home/apt,4,1.5,1,1,Real Bed,175,3,1000,3100,,$25.00 ,2,$25.00 ,1,1125,361,10/2/15,25,4/7/14,8/1/15,3,91,10,8,f,f,flexible,f,f,1,1.38
Updated 2BD Rowhome Steps to Metro,9540128,Matt,10/20/13,f,1,1,t,t,Shaw,Washington,DC,20001,"Washington, DC",t,House,Entire home/apt,3,1,2,2,Real Bed,239,3,,3500,,$50.00 ,1,$0.00 ,5,1125,345,10/3/15,4,12/16/13,8/8/14,3,100,9,10,f,f,strict,f,f,1,0.18
Cozy Apt in the Heart of Hipsterdom,22207701,Trevor,10/6/14,f,1,1,t,t,Mount Vernon Square,Washington,DC,20001,"Washington, DC",t,Apartment,Private room,4,1,1,2,Real Bed,65,2,425,1500,,,2,$0.00 ,2,1125,63,10/3/15,2,8/13/15,8/28/15,3,100,10,10,f,f,flexible,f,f,1,1.15
Beautiful room in amazing location!,12772446,Helen,3/3/14,f,1,1,t,t,Shaw,Washington,DC,20001,"Washington, DC",t,Apartment,Private room,2,1,1,1,Real Bed,71,2,500,,,$12.00 ,2,$25.00 ,2,14,319,10/2/15,83,6/30/14,9/25/15,4,97,10,9,f,f,moderate,f,f,1,5.4
Clean Studio - Next to Conv Center!,4240274,Charlie,11/25/12,f,3,3,t,t,Shaw,Washington,DC,20001,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,80,2,,,,,1,$0.00 ,1,1125,123,10/2/15,19,7/19/15,9/27/15,4,89,9,9,f,t,moderate,f,f,3,7.4
Rowhouse,2798,Ayeh,9/7/08,f,3,3,t,t,Shaw,Washington,DC,20001,"Washington, DC",t,House,Private room,4,2.5,1,3,Real Bed,250,3,,,,,2,$125.00 ,1,730,340,10/2/15,94,1/21/09,6/12/15,3,95,9,9,f,f,strict,f,f,3,1.15
Upscale Master Close to Everything,481929,Chris,4/3/11,f,5,5,t,t,Shaw,Washington,DC,20001,"Washington, DC",t,House,Private room,2,1,1,1,Real Bed,138,2,1000,2494,250,$50.00 ,1,$20.00 ,1,365,365,10/2/15,47,4/19/11,9/17/15,4,92,9,8,f,f,moderate,t,t,4,0.87
Sunny Bedroom with En Suite Bath,343320,Helen & Journey,1/11/11,t,1,1,t,f,Shaw,Washington,DC,20001,"Washington, DC",t,House,Private room,2,1,1,1,Real Bed,94,2,,,,,1,$25.00 ,2,21,308,10/2/15,150,3/12/11,9/29/15,4,98,10,10,f,f,moderate,t,t,1,2.7
2BR/2.5BTH PH Loft featured on HGTV,1640384,Christopher,1/23/12,t,2,2,t,t,Shaw,Washington,DC,20001,"Washington, DC",t,Loft,Entire home/apt,5,2.5,2,2,Real Bed,283,4,1650,4400,500,$120.00 ,4,$50.00 ,3,1125,297,10/3/15,15,8/5/14,7/20/15,3,100,10,10,f,f,moderate,f,f,1,1.06
Sunny 1-Bed Apt White House / Logan,25534764,Joseph,1/3/15,f,1,1,t,f,Downtown/Penn Quarter,Washington,DC,20005,"Washington, DC",t,Apartment,Entire home/apt,3,1,1,3,Real Bed,127,2,700,,,,1,$0.00 ,3,16,0,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,1,
CONVENTION CENTER METRO STATION #2,871824,Tony,7/26/11,f,2,2,t,f,Shaw,Washington,DC,20001,"Washington, DC",t,Townhouse,Private room,6,1,1,3,Real Bed,79,2,,2000,,,1,$26.00 ,1,365,349,10/2/15,69,5/29/12,9/16/15,4,91,9,10,f,f,strict,f,f,2,1.69
Charming Garden Level Apartment,32791385,Elgeo,5/6/15,f,1,1,t,t,Shaw,Washington,DC,20001,"Washington, DC",t,Apartment,Entire home/apt,3,1,1,1,Real Bed,110,2,600,,,,1,$0.00 ,1,1125,62,10/3/15,1,8/3/15,8/3/15,3,100,10,10,f,f,flexible,f,f,1,0.48
6 Mixed,37920286,Capitol Comfort,7/8/15,f,3,3,t,f,,Washington,DC,20001,"Washington, DC",t,Dorm,Shared room,6,1,1,6,Real Bed,38,1,,,,,1,$38.00 ,1,1125,363,10/3/15,2,8/28/15,9/4/15,4,,,,f,t,flexible,f,f,3,1.62
"Dupont Circle, 14th ST Unbeatable!",8008783,Cliff,8/7/13,f,30,30,t,t,Logan Circle,Washington,DC,20009,"Washington, DC",t,House,Entire home/apt,9,2.5,3,5,Real Bed,480,5,3000,10500,,$200.00 ,6,$5.00 ,3,1125,325,10/3/15,5,5/5/15,9/29/15,4,95,10,10,f,f,strict,f,f,27,0.99
2bd/2ba A+ Logan Circle Penthouse,5750063,Alex,4/3/13,f,1,1,t,t,Logan Circle,Washington,DC,20005,"Washington, DC",t,Apartment,Entire home/apt,6,2,2,3,Real Bed,372,5,2275,6500,,$80.00 ,4,$40.00 ,3,1125,326,10/3/15,33,10/5/13,9/18/15,4,96,10,9,f,f,moderate,f,f,1,1.36
One Bedroom Apt. in heart of Shaw,25197983,Nya,12/25/14,f,1,1,t,t,Shaw,Washington,DC,20001,"Washington, DC",t,Apartment,Entire home/apt,3,1,1,2,Real Bed,125,2,700,2625,,$60.00 ,2,$0.00 ,1,30,57,10/3/15,11,7/3/15,9/24/15,4,93,9,9,f,t,flexible,f,f,1,3.55
Cozy Master Bedroom @ Logan Circle,647625,Ehsan,5/31/11,f,1,1,t,t,,Washington,DC,20005,"Washington, DC",t,Apartment,Private room,2,1,1,1,Real Bed,89,2,524,1848,200,$30.00 ,1,$20.00 ,1,1125,161,10/3/15,3,5/16/15,8/29/15,3,93,9,9,f,f,moderate,f,f,1,0.64
Modern apartment in the heart of DC,22586098,Luisa,10/15/14,f,2,2,t,t,Shaw,Washington,DC,20001,"Washington, DC",t,Apartment,Shared room,1,1,1,1,Airbed,80,2,518,,,,1,$0.00 ,1,1125,360,10/3/15,5,5/8/15,7/5/15,3,96,9,9,f,f,moderate,f,f,2,1.01
"Convention Center, Sleeps 5 ",8008783,Cliff,8/7/13,f,30,30,t,t,Downtown/Penn Quarter,Washington,DC,20001,"Washington, DC",t,Apartment,Entire home/apt,5,1,0,3,Real Bed,90,2,,,,$100.00 ,1,$0.00 ,3,999,313,10/3/15,29,9/19/13,9/16/15,4,91,10,9,f,f,strict,f,f,27,1.17
M St Apt C,6059772,Jon,4/23/13,f,4,4,t,t,Mount Vernon Square,Washington,DC,20001,"Washington, DC",t,Apartment,Entire home/apt,3,1,0,2,Real Bed,110,2,700,2700,,$35.00 ,0,$0.00 ,2,1125,345,10/3/15,32,2/25/15,9/21/15,4,84,9,8,f,f,flexible,t,t,4,4.34
Logan Circle Bright & Beautiful Apt,20655478,Elizabeth,8/28/14,f,1,1,t,t,Logan Circle,Washington,DC,20001,"Washington, DC",t,Apartment,Entire home/apt,3,1,2,3,Real Bed,100,2,595,,,$40.00 ,1,$20.00 ,3,1125,0,10/3/15,1,9/25/15,9/25/15,4,100,10,10,f,f,strict,f,f,1,1
Gorgeous + Location 2BR/2BA,14039163,Patrick,4/8/14,f,1,1,t,t,Logan Circle,Washington,DC,20009,"Washington, DC",t,Apartment,Entire home/apt,4,2,2,2,Real Bed,250,3,1000,,250,$75.00 ,4,$25.00 ,1,100,41,10/3/15,15,3/23/15,9/21/15,4,97,10,9,f,f,strict,f,f,1,2.31
Large Room in Renovated House,2755315,Chito,6/26/12,f,5,5,t,t,St. Elizabeths,Washington,DC,20032,"Washington, DC",t,House,Private room,1,1,1,1,Real Bed,55,2,195,595,150,$75.00 ,1,$25.00 ,1,1125,364,10/3/15,0,0,0,0,,,,f,f,strict,f,f,5,
Rustic Beauty in SE DC,2755315,Chito,6/26/12,f,5,5,t,t,,Washington,DC,20032,"Washington, DC",f,House,Private room,3,1,1,2,Real Bed,55,2,295,650,150,$75.00 ,1,$15.00 ,1,1125,362,10/3/15,5,8/10/15,9/12/15,4,84,10,8,f,f,strict,f,f,5,2.73
Inauguration 2013 | $400/nt | SW DC,4275311,Danielle,11/28/12,f,1,1,t,t,Bellevue,Washington,DC,20032,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Airbed,400,5,,,200,,1,$0.00 ,2,4,365,10/2/15,0,0,0,0,,,,f,f,moderate,f,f,1,
Comfy Futon in Private Room,2755315,Chito,6/26/12,f,5,5,t,t,St. Elizabeths,Washington,DC,20032,"Washington, DC",t,House,Private room,1,1,1,1,Futon,35,1,165,595,,$25.00 ,1,$0.00 ,1,1125,360,10/2/15,0,0,0,0,,,,f,f,strict,f,f,5,
DC house with feel of the suburbs,1299708,Wade,10/16/11,f,1,1,t,t,Bellevue,Washington,DC,20032,"Washington, DC",t,House,Entire home/apt,4,2,2,2,Real Bed,160,3,,,200,$30.00 ,1,$0.00 ,2,8,0,10/3/15,5,3/17/15,6/19/15,3,96,10,9,f,f,moderate,f,f,1,0.75
Clean convenient 2 BR with parking!,37984671,Nardyne,7/9/15,f,2,2,t,t,Bellevue,Washington,DC,20032,"Washington, DC",t,Townhouse,Entire home/apt,4,2.5,2,2,Real Bed,130,2,800,2800,300,$60.00 ,1,$10.00 ,2,1125,346,10/3/15,1,7/30/15,7/30/15,3,100,10,10,f,f,strict,f,f,2,0.45
Quiet Single Room - Smoke Free Home,12745759,Donnice,3/3/14,f,1,1,t,t,Washington Highlands,Washington,DC,20032,"Washington, DC",t,Townhouse,Private room,1,1,1,1,Real Bed,50,1,225,700,,,1,$0.00 ,1,1125,194,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Freshness - Affordable DC Living,30275290,Darryl,3/30/15,f,1,1,t,t,Congress Heights,Washington,DC,20032,"Washington, DC",t,House,Private room,2,1,1,1,Real Bed,150,2,600,1500,,,1,$0.00 ,1,1125,365,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Garden Paradise in Southeast DC,10855700,Nathan,12/27/13,f,1,1,t,f,Shipley Terrace,Washington,DC,20032,"Washington, DC",t,House,Private room,2,1.5,1,1,Real Bed,40,1,230,,,,1,$0.00 ,1,1125,267,10/3/15,9,5/13/14,9/17/15,4,84,8,8,f,f,flexible,f,f,1,0.53
Private Room in Spacious Basement,2755315,Chito,6/26/12,f,5,5,t,t,St. Elizabeths,Washington,DC,20032,"Washington, DC",t,House,Private room,2,1,1,1,Real Bed,45,1,195,495,,,1,$0.00 ,1,1125,354,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,5,
Clean convenient BR with parking!,37984671,Nardyne,7/9/15,f,2,2,t,t,Bellevue,Washington,DC,20032,"Washington, DC",t,Townhouse,Private room,2,2.5,1,1,Real Bed,55,2,256,903,300,$25.00 ,1,$10.00 ,2,1125,345,10/3/15,0,0,0,0,,,,f,f,strict,f,f,2,
Cozy Southeast Getaway,24266762,Saud,11/28/14,f,1,1,t,f,Washington Highlands,Washington,DC,20032,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,3,,,,,1,$0.00 ,1,1125,365,10/2/15,1,1/1/15,1/1/15,1,100,10,10,f,f,flexible,f,f,1,0.11
Private BR Shared Bath Sunny TH,3517743,Kanita,9/9/12,f,2,2,t,t,Douglass,Washington,DC,20020,"Washington, DC",t,House,Private room,2,1,1,1,Real Bed,65,2,350,900,,,1,$15.00 ,1,1125,296,10/2/15,4,4/19/15,8/18/15,3,100,10,10,f,f,flexible,t,t,2,0.71
Night Sky room next to metro,7042945,RoDeece,6/21/13,t,4,4,t,t,,Washington,DC,20032,"Washington, DC",t,House,Private room,4,1.5,1,1,Real Bed,94,2,559,1869,95,$15.00 ,1,$8.00 ,1,31,361,10/2/15,18,4/7/14,8/22/15,3,98,10,10,f,f,flexible,f,f,3,0.99
Private BR Shared Bath Sunny TH,3517743,Kanita,9/9/12,f,2,2,t,t,Douglass,Washington,DC,20020,"Washington, DC",t,House,Private room,1,1,1,1,Real Bed,65,2,350,900,,,1,$15.00 ,1,1125,336,10/2/15,2,3/23/15,8/11/15,3,90,8,9,f,f,flexible,t,t,2,0.31
Sports themed room next to metro,7042945,RoDeece,6/21/13,t,4,4,t,t,,Washington,DC,20032,"Washington, DC",t,House,Private room,5,1.5,1,1,Real Bed,64,2,379,1129,95,$15.00 ,1,$8.00 ,1,90,336,10/2/15,115,3/17/14,9/21/15,4,94,10,10,f,t,flexible,f,f,3,6.1
Close to Navy Yard and Capitol Hill,35672131,Lee,6/12/15,f,1,1,t,t,Douglass,Washington,DC,20020,"Washington, DC",t,Townhouse,Private room,2,1,1,1,Real Bed,59,2,375,1239,,,1,$25.00 ,1,1125,353,10/3/15,18,8/7/15,9/22/15,4,98,10,10,f,f,strict,f,f,1,9.31
Safari themed room next to metro,7042945,RoDeece,6/21/13,t,4,4,t,t,,Washington,DC,20032,"Washington, DC",t,House,Private room,3,1.5,1,1,Real Bed,74,2,439,1309,95,$15.00 ,1,$8.00 ,1,90,336,10/3/15,33,12/4/13,8/31/15,3,96,10,10,f,t,flexible,f,f,3,1.48
"Room close to Bus, Metro & Shopping",31818247,Nell ( & Noel),4/23/15,f,2,2,t,f,Garfield Heights,Washington,DC,20020,"Washington, DC",t,House,Private room,3,1,1,1,Real Bed,69,2,,,,$10.00 ,2,$0.00 ,1,1125,353,10/3/15,8,7/7/15,8/2/15,3,98,10,10,f,t,strict,f,f,2,2.7
English Basement & Bath,2755315,Chito,6/26/12,f,5,5,t,t,Woodland,Washington,DC,20020,"Washington, DC",t,House,Private room,1,1,1,1,Real Bed,49,1,185,575,,$35.00 ,1,$0.00 ,1,1125,356,10/2/15,1,9/24/15,9/24/15,4,100,10,10,f,f,strict,f,f,5,1
Great Condo! Private Bedroom & Bath,43128240,Brandon,9/1/15,f,1,1,t,f,Woodland,Washington,DC,20020,"Washington, DC",t,Apartment,Private room,2,1,1,1,Real Bed,60,2,350,1200,100,,2,$0.00 ,1,365,364,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Affordable & private near to Subway,31818247,Nell ( & Noel),4/23/15,f,2,2,t,f,Garfield Heights,Washington,DC,20020,"Washington, DC",t,House,Private room,2,1,1,1,Real Bed,69,2,,,,$10.00 ,1,$0.00 ,1,1125,348,10/3/15,19,8/5/15,9/29/15,4,98,9,10,f,t,strict,f,f,2,9.5
"Steps to Metro, food & DC fun!",27799880,Jennifer,2/15/15,f,1,1,t,f,Navy Yard,Washington,DC,20003,"Washington, DC",t,Apartment,Entire home/apt,4,1,1,2,Real Bed,157,3,934,3297,,$65.00 ,2,$10.00 ,2,1125,324,10/3/15,3,8/13/15,9/5/15,4,100,10,10,f,f,moderate,f,f,1,1.73
"Location, Cozy and Convenient!",33811658,Subrena,5/20/15,f,1,1,t,f,,Washington,DC,20003,"Washington, DC",f,Apartment,Entire home/apt,3,1,1,1,Real Bed,128,2,684,,,$40.00 ,3,$45.00 ,1,1125,301,10/3/15,9,6/6/15,9/18/15,4,100,10,10,f,f,flexible,f,f,1,2.25
Cozy Apt w/ Views of the Monument!,112193,Jayne,4/22/10,f,1,1,t,t,Navy Yard,Washington,DC,20003,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,135,2,900,2500,150,$95.00 ,1,$0.00 ,6,1125,138,10/3/15,6,8/20/14,8/17/15,3,97,10,9,f,f,moderate,f,f,1,0.44
"Private room, Navy Yard area",487346,Jack,4/5/11,f,1,1,t,t,Navy Yard,Washington,DC,20003,"Washington, DC",t,House,Private room,2,1,1,1,Real Bed,90,2,425,1100,,,1,$0.00 ,2,1125,327,10/2/15,6,5/25/14,9/12/15,4,97,10,9,f,f,flexible,f,f,1,0.36
DC's Capitol Hill/Waterfront 1BD,23182731,M. Reese,10/31/14,f,1,1,t,t,Navy Yard,Washington,DC,20003,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,102,2,650,1850,100,$49.00 ,2,$0.00 ,5,31,335,10/2/15,6,12/14/14,8/8/15,3,88,10,9,f,f,strict,f,f,1,0.61
1 BR in Amenities Bldg - Nats Park!,42721155,Seth,8/27/15,f,1,1,t,f,Navy Yard,Washington,DC,20003,"Washington, DC",t,Apartment,Entire home/apt,3,1,1,1,Real Bed,99,2,650,,100,$50.00 ,1,$0.00 ,1,19,22,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Navy Yard apt with Capitol view,26806034,Darik,1/27/15,f,1,1,t,f,Navy Yard,Washington,DC,20003,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,195,3,,,,,1,$0.00 ,1,1125,167,10/2/15,1,4/25/15,4/25/15,2,100,10,10,f,f,flexible,f,f,1,0.19
Eastern Market english basement,1632216,Louisa,1/20/12,f,1,1,t,t,Capitol Hill,Washington,DC,20003,"Washington, DC",t,Apartment,Entire home/apt,4,1,1,2,Real Bed,160,3,800,2400,200,$50.00 ,1,$0.00 ,1,1125,347,10/2/15,59,5/19/12,9/18/15,4,92,9,9,f,f,flexible,f,f,1,1.44
Navy Yard/ Capitol Hill Luxury Apt,33664909,Audrey,5/18/15,f,2,2,t,t,Navy Yard,Washington,DC,20003,"Washington, DC",t,Apartment,Private room,2,1,1,1,Real Bed,95,2,800,2000,,$100.00 ,1,$45.00 ,1,1125,287,10/2/15,1,8/2/15,8/2/15,3,80,10,10,f,f,strict,f,f,2,0.48
Capitol Hill | Navy Yrd Luxury Apt,42060546,Amy,8/20/15,f,1,1,t,f,Navy Yard,Washington,DC,20003,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,120,2,,,,,1,$0.00 ,1,1125,294,10/2/15,0,0,0,0,,,,f,t,flexible,f,f,1,
Nats Capitol Navy Yd SE Water DOT!!,1730491,Renny,2/10/12,f,2,2,t,t,Navy Yard,Washington,DC,20003,"Washington, DC",t,Apartment,Entire home/apt,6,2,2,3,Real Bed,249,3,1250,4000,,$59.00 ,6,$75.00 ,2,180,150,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,1,
1BR/BA in DC w/View of Capitol,41426628,Leslie,8/13/15,f,1,1,t,f,Navy Yard,Washington,DC,20003,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,88,2,524,1848,200,$35.00 ,1,$0.00 ,3,1125,25,10/3/15,1,9/23/15,9/23/15,4,100,8,10,f,f,flexible,f,f,1,1
1 Room between Navyyard & Capitol,42082413,Zachary,8/21/15,f,1,1,t,t,Navy Yard,Washington,DC,20003,"Washington, DC",t,Apartment,Private room,2,1,1,1,Real Bed,90,2,500,,95,$10.00 ,1,$0.00 ,1,1125,0,10/3/15,2,9/9/15,9/14/15,4,100,10,10,f,t,flexible,f,f,1,2
Brand New 1 Bedroom w/ Living Room,44777359,Candice,9/21/15,f,1,1,t,t,Navy Yard,Washington,DC,20003,"Washington, DC",t,Apartment,Entire home/apt,2,1,,1,Real Bed,150,2,600,2500,,,1,$0.00 ,1,1125,325,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Master Suite in Navy Yard,31824228,Rachel,4/23/15,f,3,3,t,t,,Washington,DC,20003,"Washington, DC",f,Apartment,Private room,2,1,1,1,Real Bed,125,2,,,,,1,$0.00 ,1,1125,30,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,3,
Capitol Hill Row-House w/ Priv Bath,473055,Kathleen,3/30/11,f,1,1,t,t,Capitol Hill,Washington,DC,20003,"Washington, DC",t,House,Private room,2,1,1,1,Real Bed,85,2,,,,$20.00 ,1,$15.00 ,3,14,344,10/3/15,145,4/26/12,9/15/15,4,95,9,9,f,f,moderate,t,f,1,3.46
MLB Playoff Apartment,6277558,Sam,5/7/13,f,1,1,t,t,Navy Yard,Washington,DC,20003,"Washington, DC",t,Apartment,Entire home/apt,3,1,1,2,Real Bed,400,5,,,,,1,$0.00 ,1,1125,340,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
