name,host_id,host_name,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,city,state,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,price_range,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,Seasons,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
Great space on U street,1985562,Elsbeth,3/21/12,f,1,1,t,f,U Street Corridor,Washington,DC,20009,"Washington, DC",t,Apartment,Private room,2,1,1,1,Real Bed,95,2,600,1750,,,1,$0.00 ,1,1125,28,10/3/15,1,9/21/15,9/21/15,4,100,10,10,f,f,flexible,f,f,1,1
"DuPont Place 4 - Metro, kitchenette",17633,Charlotte,5/18/09,f,32,32,t,t,,Washington,DC,20009,"Washington, DC",t,Apartment,Private room,4,1,1,1,Real Bed,149,2,998,2995,100,$45.00 ,2,$10.00 ,2,365,315,10/3/15,34,6/23/13,9/21/15,4,93,9,10,f,f,strict,f,t,29,1.22
Private Room/Bath in Dupont/U St,36318379,Christo,6/21/15,f,2,2,t,t,U Street Corridor,Washington,DC,20009,"Washington, DC",t,House,Private room,1,1.5,1,1,Futon,90,2,,,100,$90.00 ,1,$0.00 ,3,30,32,10/3/15,4,8/25/15,9/25/15,4,100,10,10,f,f,moderate,f,f,2,3
Dupont Circle Pride & Joy,28011820,Marcy,2/19/15,f,6,6,t,t,Dupont Circle,Washington,DC,20009,"Washington, DC",t,Apartment,Entire home/apt,4,1,1,2,Real Bed,149,2,950,2795,150,$75.00 ,4,$15.00 ,1,1125,345,10/3/15,1,9/18/15,9/18/15,4,100,10,10,f,f,strict,f,f,6,1
Quiet room near Dupont Circle metro,9875908,Courtney,11/7/13,f,1,1,t,t,U Street Corridor,Washington,DC,20009,"Washington, DC",t,House,Private room,1,1.5,1,1,Real Bed,74,2,400,,300,,1,$0.00 ,3,10,10,10/3/15,7,10/31/14,5/26/15,2,91,9,9,f,f,moderate,f,f,1,0.62
Fantastic Dupont Circle Condo,13817732,Brogan,4/2/14,f,1,1,t,t,West End,Washington,DC,20037,"Washington, DC",t,Apartment,Entire home/apt,5,1,1,2,Real Bed,170,3,1000,,150,$30.00 ,4,$50.00 ,3,1125,0,10/3/15,6,5/2/14,7/17/15,3,100,10,10,f,f,strict,f,f,1,0.35
luxury 1br/ 1 ba in foggy bottom,23893708,Brandon,11/18/14,f,1,1,t,t,Foggy Bottom,Washington,DC,20037,"Washington, DC",t,Apartment,Private room,3,1,1,2,Real Bed,190,3,1250,,,,4,$30.00 ,2,75,306,10/3/15,8,11/30/14,6/12/15,3,86,9,9,f,f,flexible,f,f,1,0.78
Heart of the City - Dupont Apt,44341639,Jeanette,9/16/15,f,1,1,t,t,,Washington,DC,20009,"Washington, DC",f,Apartment,Entire home/apt,2,1,1,1,Real Bed,145,2,,,150,,0,$0.00 ,1,1125,365,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Cozy One Bedroom near Dupont/U St.,248513,Wossen,9/29/10,f,1,1,t,f,U Street Corridor,Washington,DC,20009,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,109,2,660,2500,,$15.00 ,1,$15.00 ,1,1125,351,10/3/15,45,6/30/14,8/13/15,3,88,9,8,f,f,moderate,f,f,1,2.93
T Street Carriage House Room 7,28827689,Carolyn,3/5/15,f,23,23,t,f,U Street Corridor,Washington,DC,20009,"Washington, DC",t,House,Private room,2,1.5,1,1,Real Bed,105,2,,,,,1,$0.00 ,1,1125,279,10/3/15,5,4/24/15,8/1/15,3,96,10,10,f,f,strict,f,f,23,0.92
