property_type,price_range,room_type,number_of_reviews,smart_location,zipcode,host_identity_verified,host_is_superhost,neighbourhood
1,2,2,2,14,20001,0,1,68
1,5,1,16,14,20001,0,1,68
1,3,1,0,14,20001,0,1,31
1,3,1,1,14,20004,0,1,31
1,2,1,27,14,20001,0,1,31
1,4,1,20,14,20004,1,1,31
1,5,1,0,14,20001,0,1,31
8,5,1,26,14,20005,0,1,61
1,4,1,43,14,20001,0,1,68
1,3,1,163,14,20001,1,1,68
1,4,1,23,14,20005,0,1,31
1,2,2,0,14,20001,1,1,68
1,2,2,0,14,20001,0,1,54
1,4,1,5,14,20005,0,1,31
1,2,1,73,14,20037,0,1,99
1,4,1,3,14,20001,0,1,54
1,3,1,8,14,20001,0,1,61
1,2,1,1,14,20001,1,1,68
1,3,1,0,14,20001,0,1,54
1,2,1,4,15,20001,1,1,72
6,2,2,0,14,20001,1,1,54
1,3,1,6,14,20001,0,1,54
1,4,1,2,14,20001,0,1,31
1,4,1,2,14,20001,1,1,61
1,4,1,1,14,20001,0,1,68
1,3,1,15,14,20001,0,1,68
1,3,1,0,14,20001,0,1,54
1,2,1,1,14,20001,1,1,54
6,3,1,0,14,20001,1,1,54
1,2,2,3,14,20001,1,1,54
1,3,1,18,14,20001,0,0,54
1,2,1,1,14,20005,0,1,31
1,2,1,18,14,20001,0,0,61
1,2,1,1,14,20002,1,1,72
1,3,1,2,14,20001,1,1,83
6,2,1,1,14,20001,0,1,68
1,3,1,1,14,20005,0,1,31
1,6,1,0,14,20001,0,1,54
1,4,1,3,14,20001,0,1,31
1,4,1,47,14,20001,1,1,68
1,3,1,28,14,20001,1,1,54
1,4,1,2,14,20001,0,1,31
1,3,2,18,14,20001,0,0,54
1,2,1,0,14,20004,0,1,31
1,3,1,3,14,20001,0,1,68
1,3,1,1,14,20001,0,1,68
1,2,2,5,14,20001,0,1,72
1,2,1,0,14,20001,0,1,17
8,2,2,8,14,20005,1,1,31
1,4,1,50,14,20001,0,1,68
1,5,1,0,14,20001,0,0,54
1,2,2,0,14,20001,1,1,83
1,2,1,54,14,20001,0,0,68
1,3,1,35,14,20001,0,0,68
1,2,1,53,14,20001,0,1,31
1,2,1,4,14,20001,0,1,68
1,3,1,1,14,20001,0,1,68
1,2,1,4,14,20001,0,1,68
1,3,1,0,14,20001,0,1,68
8,2,2,44,14,20001,1,1,94
11,3,1,2,14,20037,0,0,32
1,4,1,5,14,20005,0,1,31
1,2,1,1,14,20005,1,1,31
9,3,1,12,14,20001,1,1,68
1,2,1,3,14,20001,1,1,31
1,6,1,0,14,20001,0,1,54
1,6,1,0,14,20001,0,1,54
1,2,2,9,14,20001,0,1,68
1,4,1,4,14,20001,0,1,31
1,2,2,12,14,20001,0,0,68
8,4,1,14,14,20001,0,1,68
1,2,1,3,14,20005,0,1,31
1,4,1,1,14,20037,0,1,99
1,2,1,0,14,20037,0,1,39
1,2,1,12,14,20037,0,1,99
1,3,1,47,14,20037,0,1,32
