name,host_id,host_name,host_since,property_type,price,price_range,room_type,number_of_reviews,smart_location,zipcode,host_identity_verified,host_is_superhost,neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,is_location_exact,accommodates,bathrooms,bedrooms,beds,weekly_price,monthly_price,security_deposit,guests_included,minimum_nights,maximum_nights,availability_365,first_review,last_review,Seasons,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,city,state,bed_type,cleaning_fee,extra_people,calendar_last_scraped
"Perfect location, 2b modern apt.",89849,Serrana,3/8/10,1,240,3,1,22,14,20036,0,1,32,1,1,1,0,4,1,2,2,1500,0,0,2,5,60,355,1/17/14,7/26/15,3,99,10,10,1,2,0,0,1,1.06,Washington,DC,Real Bed,70,20,10/3/15
Dupont Apt 3-min walk metro,767543,Dana,7/1/11,1,259,4,1,7,14,20009,0,1,32,5,5,1,0,4,1,1,3,0,4000,0,2,3,1125,351,3/14/12,7/24/15,3,97,9,10,1,2,0,0,4,0.16,Washington,DC,Real Bed,0,15,10/3/15
Room available in a Group House,14229159,Dominick,4/13/14,8,100,2,2,1,14,20009,0,1,32,3,3,1,0,2,1,1,1,0,1400,0,1,4,1125,275,8/31/14,8/31/14,3,80,8,8,1,2,0,0,3,0.08,Washington,DC,Real Bed,0,0,10/3/15
Best of DC in Dupont Circle/U St,3142082,Tom,8/2/12,1,300,4,1,32,14,20009,0,0,96,3,3,1,0,4,2,2,2,0,4800,0,1,1,1125,292,4/1/13,9/15/15,4,98,10,10,1,3,0,0,2,1.05,Washington,DC,Real Bed,0,0,10/3/15
Chic 1 bedroom close to 14th & U,37326837,Kristen,7/2/15,1,150,2,1,2,14,20009,0,1,96,1,1,1,0,2,1,1,1,0,0,0,1,1,1125,345,7/26/15,9/22/15,4,90,9,9,1,1,0,0,1,0.86,Washington,DC,Real Bed,0,0,10/3/15
Dupont 2 Dream,40629622,Kenneth,8/5/15,1,119,2,1,1,14,20009,1,1,2,4,4,1,0,4,1,1,2,750,2495,150,4,1,1125,346,9/8/15,9/8/15,4,80,8,8,1,3,0,0,4,1,Washington,DC,Real Bed,75,15,10/3/15
Dupont 1 Bedroom Top Floor Apt,14138499,Zach,4/10/14,1,145,2,1,5,14,20009,0,1,32,1,1,1,0,2,1,1,1,0,0,0,1,2,1125,150,4/20/15,8/12/15,3,100,10,10,1,1,0,0,1,0.9,Washington,DC,Real Bed,20,0,10/3/15
Beautiful Apt in Heart of Dupont,37149052,Syd,6/30/15,1,418,5,1,0,14,20009,1,1,32,2,2,1,0,9,2,3,3,2100,5355,0,1,3,6,365,0,0,0,0,0,0,1,1,0,0,2,0,Washington,DC,Real Bed,70,0,10/3/15
GREAT APARTMENT AT DUPONT CIRCLE,312046,Mathieu,12/7/10,6,129,2,1,2,14,20036,0,1,32,1,1,1,0,4,1,1,2,799,2799,400,1,5,1125,1,5/25/15,6/20/15,3,100,10,10,1,3,0,0,1,0.45,Washington,DC,Real Bed,0,0,10/3/15
"Fully Renovated 1br, Historic Bldg",52413,Gina,11/8/09,1,210,3,1,6,14,20009,1,1,32,1,1,1,0,2,1,1,1,0,0,0,1,2,1125,359,6/8/15,9/28/15,4,96,10,10,1,2,0,0,1,1.53,Washington,DC,Real Bed,50,0,10/3/15
[1143-1]1BR At Westbrooke Place,25188,Seamless,7/10/09,1,299,4,1,0,14,20037,0,1,99,480,480,1,0,2,1,1,1,0,6325,0,1,4,365,365,0,0,0,0,0,0,1,4,0,1,5,0,Washington,DC,Real Bed,0,0,10/3/15
Charming Flat in Dupont Circle,2910682,David,7/12/12,1,222,3,1,9,14,20009,0,1,32,2,2,1,0,6,1,2,3,1357,4788,0,4,1,1125,0,7/22/15,8/18/15,3,84,9,9,1,2,0,0,2,3.65,Washington,DC,Real Bed,0,40,10/3/15
Great space in Historic Townhouse 5,5487930,Mark,3/16/13,8,115,2,2,3,14,20009,0,1,96,5,5,1,0,2,2.5,1,1,750,1775,0,1,4,1125,337,11/28/14,5/19/15,2,80,8,8,1,3,0,0,5,0.29,Washington,DC,Real Bed,50,20,10/3/15
Great Deal in Dupont,7785611,Joanna,7/28/13,1,99,2,1,7,14,20036,0,1,32,1,1,1,0,2,1,1,1,699,0,100,1,7,1125,113,11/20/13,4/21/14,2,98,10,9,0,3,0,0,1,0.31,Washington,DC,Real Bed,40,0,10/3/15
Heart of the Gayborhood,44799699,Tim,9/22/15,1,100,2,2,0,14,20008,0,1,32,1,1,1,0,2,1,1,1,0,0,0,1,1,1125,352,0,0,0,0,0,0,1,1,0,0,1,0,Washington,DC,Real Bed,25,25,10/3/15
Dupont Circle Apartment,3750664,Peter,10/3/12,1,130,2,1,8,14,20009,1,1,32,1,1,1,0,2,1,1,2,600,1900,0,1,4,50,11,5/15/14,9/15/15,4,95,10,10,1,1,0,0,1,0.47,Washington,DC,Real Bed,0,20,10/3/15
1 Bedroom in BEST location in DC,24361527,Osiris,12/1/14,1,75,2,2,3,14,20009,0,1,96,2,2,1,0,2,1,1,1,420,0,0,2,1,1125,322,9/21/15,9/30/15,4,100,10,10,1,1,0,0,2,3,Washington,DC,Real Bed,0,30,10/3/15
Near metro. Near night life. 1 BR.,41885785,Adam,8/19/15,1,99,2,1,0,14,20009,1,1,32,1,1,1,0,2,1,2,1,650,0,99,1,1,1125,19,0,0,0,0,0,0,1,1,0,0,1,0,Washington,DC,Real Bed,50,0,10/3/15
Welcome To My Space,6868704,Sean,6/12/13,1,115,2,1,44,14,20005,0,1,61,1,1,1,0,2,1,0,1,800,3150,200,2,3,25,64,4/8/14,9/28/15,4,96,10,10,1,2,0,0,1,2.43,Washington,DC,Real Bed,50,50,10/3/15
"Dupont Rm, breakfast, 3 min 2 metro",767543,Dana,7/1/11,2,215,3,2,2,14,20009,0,1,32,5,5,1,0,2,1,1,1,0,3000,0,3,3,7,275,1/23/12,5/20/15,2,100,9,9,1,3,0,0,4,0.04,Washington,DC,Real Bed,0,0,10/3/15
Walk to WhiteHouse Penthouse_2Br2Ba,5778691,Corbett,4/5/13,6,179,3,1,0,14,20005,1,1,61,6,6,1,0,6,2,2,3,0,0,0,1,1,27,78,0,0,0,0,0,0,1,2,1,1,6,0,Washington,DC,Real Bed,40,0,10/3/15
Sunny 1BR Apartment in Dupont,29814693,Sean,3/22/15,1,199,3,1,7,14,20009,1,1,32,1,1,1,0,2,1,1,1,774,0,0,1,1,1125,169,4/24/15,5/31/15,2,93,10,9,0,3,0,0,1,1.29,Washington,DC,Real Bed,0,0,10/3/15
Great 2BR Apartment - Dupont Circle,1327073,Ibrahim,10/23/11,1,140,2,1,2,14,20036,1,1,32,1,1,1,0,4,1,2,2,750,0,0,1,1,1125,264,6/25/15,8/5/15,3,100,10,8,1,1,0,0,1,0.59,Washington,DC,Real Bed,30,0,10/3/15
The Red House,1386702,John,11/8/11,8,195,3,1,1,14,20009,1,1,96,12,12,1,0,11,5,6,6,6000,0,500,1,2,180,364,7/31/15,7/31/15,3,80,10,10,1,3,0,0,12,0.46,Washington,DC,Real Bed,150,125,10/3/15
Sunny Studio in Downtown DC,3003748,Adam,7/20/12,1,115,2,1,0,14,20005,1,1,61,1,1,1,0,3,1,0,1,0,0,0,1,1,1125,287,0,0,0,0,0,0,1,1,0,0,1,0,Washington,DC,Real Bed,0,0,10/3/15
DuPont/Adams Morgan row house,10555363,Barry,12/10/13,8,99,2,2,5,14,20009,0,1,96,1,1,1,0,2,1.5,1,1,650,0,0,1,1,14,345,5/15/15,9/14/15,4,100,10,10,1,1,0,0,1,1.06,Washington,DC,Real Bed,0,0,10/3/15
Dupont Circle Elegance,1369442,Ted,11/4/11,8,185,3,2,1,14,20008,0,1,55,3,3,1,0,4,1.5,1,3,0,0,300,2,1,10,352,6/29/15,6/29/15,3,80,8,8,1,3,0,0,3,0.31,Washington,DC,Real Bed,125,50,10/3/15
